Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],fifo3_data_Q[15:0],fifo3_data_I[8:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
185,185,0,1,-4838,4908,0,1961,-15199,16075,-18471,20080,1,-1152,775,16429,318,31224,-13955,1cb
186,186,0,0,-4838,4908,0,1961,-15199,16075,-18471,20080,0,-1152,775,16429,318,31224,-13955,1cb
187,187,0,0,-4244,3706,0,1961,-15199,16075,-16109,17080,1,-1245,490,16429,318,31224,-13955,1cb
188,188,0,0,-4244,3706,0,1961,-15199,16075,-16109,17080,0,-1245,490,16429,318,31224,-13955,1cb
189,189,0,0,-4244,3706,0,1961,14000,-18116,-12747,13329,1,-1335,191,16385,0,31224,-13150,10d
190,190,0,0,-4244,3706,0,1961,14000,-18116,-12747,13329,0,-1335,191,16385,0,31224,-13150,10d
191,191,0,0,-4244,3706,0,1961,14000,-18116,-8547,8996,1,-1406,-104,16385,0,31224,-13150,10d
192,192,0,0,-4244,3706,0,1961,14000,-18116,-8547,8996,0,-1406,-104,16385,0,31224,-13150,10d
193,193,0,0,-4244,3706,0,1961,14000,-18116,-3797,4297,1,-1442,-380,16385,0,31044,-14042,1be
194,194,0,0,-4244,3706,0,1961,14000,-18116,-3797,4297,0,-1442,-380,16385,0,31044,-14042,1be
195,195,0,0,-4244,3706,0,1961,14000,-18116,1114,-516,1,-1423,-632,16385,0,31044,-14042,1be
196,196,0,0,-4244,3706,0,1961,14000,-18116,1114,-516,0,-1423,-632,16385,0,31044,-14042,1be
197,197,0,0,-4244,3706,1,1961,14000,-18116,5733,-5173,1,-1335,-860,16385,-6024,31044,-16270,044
198,198,0,0,-4244,3706,1,1961,14000,-18116,5733,-5173,0,-1335,-860,16385,-6024,31044,-16270,044
199,199,0,0,-4244,3706,1,1961,14000,-18116,9601,-9404,1,-1168,-1067,16385,-6024,31044,-16270,044
200,200,0,0,-4244,3706,1,1961,14000,-18116,9601,-9404,0,-1168,-1067,16385,-6024,31044,-16270,044
201,201,0,1,-4244,3706,0,1961,14000,-18116,12311,-12971,1,-924,-1256,16385,-6024,31040,-18858,11c
202,202,0,0,-4244,3706,0,1961,14000,-18116,12311,-12971,0,-924,-1256,16385,-6024,31040,-18858,11c
203,203,0,0,-4811,-4460,0,1961,14000,-18116,13559,-15700,1,-609,-1419,16385,-6024,31040,-18858,11c
204,204,0,0,-4811,-4460,0,1961,14000,-18116,13559,-15700,0,-609,-1419,16385,-6024,31040,-18858,11c
205,205,0,0,-4811,-4460,0,1961,-19390,-13646,13194,-17497,1,-242,-1536,16360,0,31040,-20187,15e
206,206,0,0,-4811,-4460,0,1961,-19390,-13646,13194,-17497,0,-242,-1536,16360,0,31040,-20187,15e
207,207,0,0,-4811,-4460,0,1961,-19390,-13646,11234,-18367,1,143,-1590,16360,0,31040,-20187,15e
208,208,0,0,-4811,-4460,0,1961,-19390,-13646,11234,-18367,0,143,-1590,16360,0,31040,-20187,15e
209,209,0,0,-4811,-4460,0,1961,-19390,-13646,7867,-18413,1,506,-1570,16360,0,31036,-18471,070
210,210,0,0,-4811,-4460,0,1961,-19390,-13646,7867,-18413,0,506,-1570,16360,0,31036,-18471,070
211,211,0,0,-4811,-4460,0,1961,-19390,-13646,3428,-17823,1,819,-1472,16360,0,31036,-18471,070
212,212,0,0,-4811,-4460,0,1961,-19390,-13646,3428,-17823,0,819,-1472,16360,0,31036,-18471,070
213,213,0,0,-4811,-4460,1,1961,-19390,-13646,-1647,-16841,1,1069,-1294,16360,0,31036,-12747,011
