Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],clk_4MHz,<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
52,52,0,0,-4117,4257,1,1961,872,19796,20904,f62e,0,-1558,-123,3fe3,3316,6f40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,0,0,-4117,4257,1,1961,872,19796,20904,f62e,1,-1674,-80,3fe3,3316,6f40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,0,-4117,4257,1,1961,872,19796,20438,f7ec,0,-1674,-80,3fe3,3316,6f40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,-4117,4257,1,1961,872,19796,20438,f7ec,1,-1769,9,3fe3,3316,6f40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,0,0,-4117,4257,0,1961,872,19796,20057,f94b,0,-1769,9,3fe3,1b9c,6fb4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,0,0,-4117,4257,0,1961,872,19796,20057,f94b,1,-1829,117,3fe3,1b9c,6fb4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,0,0,-3947,4307,0,1961,872,19796,19866,f9dd,0,-1829,117,3fe3,1b9c,6fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0,0,-3947,4307,0,1961,872,19796,19866,f9dd,1,-1837,216,3fe3,1b9c,6fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,0,-3947,4307,0,1961,-2079,-20636,19910,f96d,0,-1837,216,406e,0000,6fb4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,0,-3947,4307,0,1961,-2079,-20636,19910,f96d,1,-1779,282,406e,0000,6fb4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,0,0,-3947,4307,0,1961,-2079,-20636,20176,f803,0,-1779,282,406e,0000,6fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,0,-3947,4307,0,1961,-2079,-20636,20176,f803,1,-1639,300,406e,0000,6fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,0,-3947,4307,0,1961,-2079,-20636,20592,f5ef,0,-1639,300,406e,0000,7028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
